3137 393 742 25 2125 2122 727
3031 2460 2478 2032 716 2812 1786
1494 133 2019 2399 1740 815 2428
1641 522 1627 295 291 2404 231
444 1836 2782 361 415 405 987
2546 1618 886 1039 1004 2710 2409
814 238 3029 2607 2014 365 2557
1363 1717 2139 1530 184 2542 1594
211 3143 1935 386 850 1285 839
2597 1326 287 1410 2683 493 2776
1784 3066 26 790 1303 3040 2569
1834 55 700 195 841 1128 1948
2949 157 1482 2017 389 2180 2833
1419 1156 392 1157 2094 246 2175
825 119 290 2636 35 2232 2625
2395 2155 136 1574 749 1522 589
2122 1880 2273 1828 287 2188 172
492 2507 1596 918 3137 1821 1775
1024 1179 1486 2149 2105 1392 566
138 2486 2022 1492 2264 2304 353
2148 1685 1071 1491 2763 810 2501
811 778 1038 2250 1646 338 521
2420 2422 2252 1796 1720 3014 2736
836 2313 1800 1970 16 2479 2083
2426 2590 1701 712 1909 1811 1835
1154 522 710 683 1610 780 3062
2936 680 1189 2899 572 2799 2812
347 2409 2376 1453 3102 1880 1689
2258 8 671 1432 2803 2837 912
2531 2393 2997 2828 2377 2718 858
1928 2963 2621 508 208 2316 2163
854 160 2477 2283 1648 2368 1252
2194 847 968 1004 473 1081 1087
2507 143 938 768 1521 555 674
1602 271 2498 900 500 2566 909
1945 1780 1536 2517 1638 2655 48
2863 285 1937 1046 1763 1853 252
1218 566 402 589 1110 13 1611
109 391 2778 2198 2046 2346 1835
2651 2193 135 259 7 688 727
821 3139 2109 1765 2988 2230 2312
334 962 725 863 2618 2082 602
494 267 1151 1032 621 1539 2735
1665 749 319 974 2275 2425 2524
1994 1733 476 1105 1622 452 2528
1510 1993 1303 2518 3087 1957 2714
2450 1335 2296 2282 1572 101 62
968 1844 1385 304 584 2211 2471
1025 1186 2733 2182 538 1810 433
476 3121 973 648 1984 2545 2665
989 59 1292 388 2046 2397 2730
1644 1380 382 2788 2812 1837 317
1858 1807 2396 2871 2587 2106 1781
2362 3057 925 1507 2213 1999 1348
2795 2599 1725 751 1758 3010 675
2141 503 1830 3138 598 1474 662
581 109 2894 573 3075 1562 2516
2640 572 2409 2298 2360 953 2558
1763 1390 886 1563 1469 800 322
930 1321 2737 538 2345 754 1329
2699 576 651 492 1735 2679 2163
686 2068 1867 2805 1573 2879 256
2097 2439 1037 439 368 217 2499
3142 317 1072 2492 565 1534 2028
242 1613 2258 139 1949 1910 1103
518 1483 2332 1613 2368 2129 2404
25 2449 544 598 1892 1795 1548
744 540 1235 3118 1596 2274 1253
2868 92 493 2811 791 797 39
742 2117 2655 1553 354 149 715
1802 2885 1223 394 227 659 491
99 123 411 964 2280 1101 2038
2716 1437 2835 1415 379 1364 459
1877 429 1072 88 16 2641 2750
756 2407 3023 2657 2726 818 1912
2584 136 849 2948 2356 2365 473
2145 1758 461 1266 769 2084 2414
2835 1959 27 2196 2940 1084 2586
777 300 1812 268 2268 395 1768
2106 1195 2469 2751 1117 2496 1738
2281 3026 118 3051 645 3002 1320
374 2748 1011 2398 1601 2456 530
277 428 1681 529 2113 2160 2018
255 2716 1736 80 2690 447 1294
544 1353 781 448 1531 2002 1921
232 2387 1432 585 3034 684 2520
592 2249 1383 2125 2 2082 1864
916 1895 2424 1095 2824 3156 312
2223 1905 1876 1497 1611 1605 1375
89 1762 289 1102 1253 1780 1644
1646 388 3153 1191 956 2738 1002
680 1045 191 1934 476 2529 2641
176 625 2294 435 1874 2534 1355
1870 2533 1861 562 2577 1826 826
514 706 361 1948 1931 1736 2221
1978 2294 860 2317 1200 2372 2141
785 1448 1991 3039 3090 2041 1355
308 189 626 1861 920 114 3110
609 1158 3062 2335 1119 2035 1029
1272 398 1865 624 291 1955 2974
337 2891 2871 1850 278 13 615
2392 1270 82 697 2418 1738 2108
2654 1631 88 50 2064 735 610
1257 1420 2558 3090 2059 2080 196
2976 678 2112 1967 1086 2495 2842
400 1079 1811 453 2045 569 2883
2381 807 2765 1222 1467 733 3111
1873 1021 962 1176 96 1325 1432
437 1311 2712 1900 420 1615 2540
1493 1079 812 946 2413 1680 2320
2484 2573 1821 441 958 698 1923
2541 1443 1985 2107 2552 908 1326
120 1058 1438 1877 2565 1987 2466
1883 261 2616 3018 2041 617 2020
2040 1816 1831 622 1955 2477 1407
129 463 1210 2368 2070 87 818
2649 2617 2667 14 1780 276 2366
544 2428 2056 1018 2709 499 709
1413 2528 255 2627 1866 874 2408
3051 158 909 103 1697 721 2476
175 950 1356 2935 2891 1057 2178
2794 1541 1539 2677 2495 2456 1991
1705 945 971 2208 1021 1576 2729
1699 211 909 745 1611 1700 2066
1837 2214 1623 1766 1600 1794 2677
1438 1459 1762 634 2691 2013 693
1098 2754 3153 1224 2663 2875 1590
884 1301 834 199 1813 265 2184
1514 819 705 1727 703 843 488
1981 290 882 2368 80 1509 2681
389 941 976 1671 1715 3001 1588
884 685 2237 2299 1438 554 955
2412 461 499 1546 2380 1452 1779
469 1098 526 2590 2703 2595 56
1207 409 2067 2558 2322 2182 2786
1744 2315 1248 749 1791 2394 2410
1672 2679 2962 1717 773 1043 2458
1778 1399 2156 20 1852 2711 2511
1776 2032 1994 2116 2224 179 2470
1500 2076 3052 1137 318 1066 2721
2146 2121 1549 2502 2744 2684 737
2732 939 1587 2743 1783 1832 1743
1353 1557 139 1352 269 2725 1473
1053 1358 1258 2948 686 201 1935
2024 554 2329 1496 1012 1188 453
539 37 575 817 2326 1510 1538
1381 2879 2538 624 761 816 2390
2445 1358 1700 2527 2127 20 2132
1765 706 1473 1795 462 2299 2373
134 2917 334 1303 1932 2422 850
310 2862 913 1498 2997 1614 1341
1188 430 2669 2268 1384 406 349
1282 1819 976 1472 2800 3036 683
1962 1334 1819 1406 755 467 3001
2293 1435 2894 64 416 10 1676
162 1101 1851 2201 1623 989 271
2252 1180 1619 2307 2241 543 1163
2931 1486 856 2434 2688 2420 2449
1389 2034 853 2461 125 424 3042
1156 853 1671 2911 3061 1350 415
925 306 296 2599 457 1128 2322
2290 2620 2047 108 2608 878 419
2852 368 2521 642 1323 1388 890
1542 2457 2176 439 3029 1190 2770
552 1358 1131 138 1773 3069 2215
1246 2224 1052 1725 2571 1051 692
594 178 19 2054 1168 1709 336
531 57 2713 1273 2345 665 1883
2566 1944 290 2822 2491 2248 2538
2493 1493 1364 3079 531 2726 2674
2551 1162 2893 485 2738 2237 992
2728 2397 1872 328 1268 969 2318
2984 97 520 2004 1659 466 2597
681 894 1886 1087 2475 1756 2473
2363 2524 1389 1933 1090 2580 648
812 2421 2101 2015 2666 1271 2134
1192 2611 426 596 995 2549 977
1017 349 673 2378 2395 2661 2331
1838 562 1821 2534 2512 900 1242
2408 2721 1802 1362 1553 402 581
1667 972 335 498 2031 45 2381
620 2263 1434 1538 2276 132 2447
2425 2544 1899 2436 196 2632 2639
2444 1573 643 2155 1356 2696 984
1778 1716 2330 1703 2547 2143 2610
1801 1931 226 2614 2562 327 166
2466 2172 271 2072 923 3008 2068
2018 2723 1896 632 1348 256 1293
1559 2261 547 1851 1722 1919 1541
2598 1172 1445 455 1799 693 2547
1149 3120 12 581 1267 1084 2218
1564 1794 2104 527 1937 514 722
290 1993 695 371 741 2494 2432
1808 1362 1083 147 2359 51 78
0 694 876 126 2587 642 2190
343 1020 1066 3016 1025 441 1129
2111 12 125 2526 1764 2001 2380
1735 1965 2090 88 1056 2447 2477
52 1556 221 1308 1815 3126 212
839 2892 1439 1969 2557 2088 507
2130 2136 914 497 2263 1937 1476
3062 1449 1715 2378 2345 2154 555
154 1931 3108 1410 2326 1971 2458
562 2730 1064 973 1268 1616 534
2442 2663 3118 1995 80 1952 672
2309 804 1513 2112 918 481 933
2478 26 2144 50 2339 1552 2289
353 591 1670 2157 210 919 231
2397 2307 1473 414 2955 2498 2331
381 141 509 991 2895 776 2856
1915 254 1496 376 1639 646 632
1199 2884 910 960 2980 2709 121
2435 1876 1841 204 2684 296 875
1044 2663 2258 1301 1792 2209 2445
1632 978 318 833 1571 2361 2972
981 3006 1499 1103 1780 3100 2079
2069 2266 1875 1112 607 385 1408
2332 1478 2327 1016 787 994 650
2253 1959 2293 2358 2050 1197 739
1399 1132 2517 2687 1264 356 2607
744 418 2818 262 811 2339 1650
1962 2928 3071 1883 432 1347 3106
353 256 2497 2943 2401 552 1833
3134 1441 584 2899 3144 2704 1568
3095 1654 2687 6 3119 2157 2108
827 2556 1420 806 1470 1535 881
701 2539 2682 527 168 190 1949
2657 2700 2773 1451 6 2608 2284
2191 1048 2266 1354 1690 58 2809
338 476 1492 1972 194 2498 1999
1932 2189 340 1690 2819 2431 2693
2041 1404 1252 1705 1078 1470 1741
60 668 351 2205 1305 1478 2281
193 2054 3080 3078 409 2847 1339
1503 2132 1466 478 575 1552 1417
245 3056 1866 1221 1673 1389 2570
2947 1937 2801 2753 2571 1261 1523
939 1951 1849 2016 1695 2443 3
2511 445 881 154 75 630 2928
563 352 2870 474 593 204 2591
1291 534 538 539 1541 170 1555
1254 413 494 2689 734 436 1970
304 760 1821 2683 2269 19 1324
1558 2062 1899 2078 302 2326 2527
266 1047 2755 1367 1829 2244 1682
362 2645 2518 782 653 2899 2584
1414 1517 1023 2573 932 2933 1913
1927 458 2558 20 2065 99 2345
1879 691 1106 639 1294 1537 1272
663 1421 875 548 2462 1014 202
2992 1096 2527 1294 1368 2781 2802
2812 2780 2988 2120 799 994 1749
1965 2215 432 2379 2697 962 423
1426 2221 2434 601 1425 801 2311
2323 1799 1432 2878 2589 54 1107
3004 243 3002 1125 2581 2049 395
2126 1434 929 363 1730 2281 2007
2090 291 1078 2309 705 426 2486
623 2889 326 416 2515 2630 2205
504 349 2625 1883 1958 1801 1290
331 222 1657 1511 1581 1398 1519
183 1581 782 715 287 1865 2376
1902 919 561 883 305 1046 2556
506 1740 1677 1703 627 2607 259
2148 1828 2602 90 1299 544 990
2607 2865 2325 3042 2505 1155 3062
778 2318 2590 2626 2442 355 2362
2213 311 1153 559 894 645 1299
3097 308 1474 89 2571 1624 2613
1304 1997 1977 2170 399 588 3056
76 2936 2725 963 1017 2796 2752
73 1221 1060 2143 1052 2491 1623
55 755 2686 51 1707 2340 345
2952 352 1416 321 880 1888 3064
1706 3110 1125 525 1478 2216 675
2725 470 1708 1640 313 1837 704
906 1523 2615 356 64 3003 469
1278 2350 1997 393 173 2427 2310
1002 216 903 2606 1750 2431 174
1751 2712 2007 2323 1926 2480 1639
2445 1901 15 391 250 323 112
593 474 506 3105 1964 2194 2602
727 418 2745 1254 212 197 2705
652 2877 2686 728 2258 1447 3079
2104 2935 1052 1096 2215 2891 861
1249 2282 378 2350 1261 617 1769
2290 2710 95 218 808 2679 2347
2683 2603 2034 2092 2905 2768 824
1370 1802 1100 2642 2409 146 2619
183 1545 977 1961 2400 1798 225
1682 453 387 1249 647 2909 1763
2567 619 1369 2662 2106 3146 2683
1155 1715 1195 2845 1448 2803 2884
2012 2688 2517 1986 2342 1903 2375
2173 2416 554 2105 1717 2204 1603
2137 1667 1803 1763 81 2717 1437
949 1346 2105 3080 534 1551 2963
1584 1604 2651 1223 1626 529 2513
1175 507 3110 1478 2082 1795 2677
203 1065 161 2635 1021 3004 2895
